College,Code
University of Minnesota-Duluth,238800
University of Minnesota-Morris,238900
Minnesota State University Moorhead,236700
North Hennepin Community College,237000
Normandale Community College,795400
North Central University,236900
Northland Community and Technical College,238500
University of Northwestern-St Paul,237100
Pine Technical & Community College,553500
Rochester Community and Technical College,237300
College of Saint Benedict,234100
St Cloud Technical and Community College,553400
Saint Cloud State University,237700
Saint Johns University,237900
Saint Mary's University of Minnesota,238000
St Olaf College,238200
Crown College,238300
The College of Saint Scholastica,234300
University of St Thomas,234500
St Catherine University,234200
Rasmussen University-Minnesota,869400
Saint Paul College,553300
Southwest Minnesota State University,237500
Dunwoody College of Technology,464100
Ridgewater College,525200
Minnesota State College Southeast,239300
Winona State University,239400
Century College,1054600
Alcorn State University,239600
Belhaven University,239700
Blue Mountain College,239800
Coahoma Community College,240100
Copiah-Lincoln Community College,240200
Delta State University,240300
East Central Community College,240400
East Mississippi Community College,240500
Hinds Community College,240700
Holmes Community College,240800
Itawamba Community College,240900
Jackson State University,241000
Jones County Junior College,241100
Meridian Community College,241300
Millsaps College,241400
Mississippi Delta Community College,241600
University of Mississippi,244000
Mississippi University for Women,242200
Mississippi Valley State University,242400
Mississippi College,241500
Mississippi Gulf Coast Community College,241700
Mississippi State University,242300
Northeast Mississippi Community College,242600
Northwest Mississippi Community College,242700
Pearl River Community College,243000
Rust College,243300
Southwest Mississippi Community College,243600
University of Southern Mississippi,244100
Tougaloo College,243900
William Carey University,244700
Avila University,244900
Cox College,2068200
Central Methodist University-College of Liberal Arts and Sciences,245300
University of Central Missouri,245400
Columbia College,245600
Crowder College,245900
Culver-Stockton College,246000
Drury University,246100
East Central College,886200
Pinnacle Career Institute,1040500
Evangel University,246300
Fontbonne University,246400
Ozarks Technical Community College,3083000
Hannibal-LaGrange University,908900
Harris-Stowe State University,246600
Jefferson College,246800
Barnes-Jewish College Goldfarb School of Nursing,638900
Kansas City Art Institute,247300
Lincoln University,247900
Lindenwood University,248000
State Technical College of Missouri,471100
Metropolitan Community College-Kansas City,248400
Maryville University of Saint Louis,248200
Midwestern Baptist Theological Seminary,248500
Mineral Area College,248600
Missouri Baptist University,754000
Missouri Southern State University,248800
Missouri Valley College,248900
Missouri Western State University,249000
University of Missouri-Columbia,251600
University of Missouri-Kansas City,251800
Missouri University of Science and Technology,251700
University of Missouri-St Louis,251900
Moberly Area Community College,249100
Truman State University,249500
Northwest Missouri State University,249600
Ozark Christian College,2202700
College of the Ozarks,250000
Park University,249800
Ranken Technical College,1250000
Rockhurst University,249900
Saint Louis University,250600
Saint Louis Community College,247100
Southwest Baptist University,250200
Missouri State University-West Plains,3106000
State Fair Community College,808000
Southeast Missouri State University,250100
Missouri State University-Springfield,250300
Three Rivers College,471300
North Central Missouri College,251400
Washington University in St Louis,252000
Webster University,252100
Westminster College,252300
William Jewell College,252400
William Woods University,252500
Carroll College,252600
Montana State University Billings,253000
Flathead Valley Community College,677700
Great Falls College Montana State University,931400
University of Providence,252700
Helena College University of Montana,757000
Montana Technological University,253100
Montana State University,253200
The University of Montana,253600
Montana State University-Northern,253300
Rocky Mountain College,253400
Salish Kootenai College,2143400
The University of Montana-Western,253700
Bellevue University,974300
Clarkson College,986200
Bryan College of Health Sciences,639900
Central Community College,2099500
Chadron State College,253900
Concordia University-Nebraska,254100
Creighton University,254200
Doane University,254400
Hastings College,254800
University of Nebraska at Kearney,255100
Nebraska Methodist College of Nursing & Allied Health,640400
Metropolitan Community College Area,1258600
Mid-Plains Community College,255700
Midland University,255300
University of Nebraska at Omaha,255400
University of Nebraska Medical Center,689500
Nebraska Wesleyan University,255500
University of Nebraska-Lincoln,256500
Northeast Community College,1166700
Peru State College,255900
College of Saint Mary,254000
Southeast Community College Area,2508300
Union College,256300
Wayne State College,256600
Western Nebraska Community College,256000
College of Southern Nevada,1036200
University of Nevada-Las Vegas,256900
University of Nevada-Reno,256800
Great Basin College,697700
Truckee Meadows Community College,2107700
Western Nevada College,1036300
Colby-Sawyer College,257200
Dartmouth College,257300
Franklin Pierce University,257500
New England College,257900
Southern New Hampshire University,258000
University of New Hampshire-Main Campus,258900
Keene State College,259000
Plymouth State University,259100
NHTI-Concord's Community College,258100
White Mountains Community College,529100
River Valley Community College,756000
Lakes Region Community College,755500
Manchester Community College,258200
Nashua Community College,923600
Great Bay Community College,258300
Rivier University,258600
Saint Anselm College,258700
Granite State College,3101300
Eastwick College-Hackensack,1246200
Atlantic Cape Community College,259600
Fortis Institute-Wayne,2132300
Bergen Community College,473600
Berkeley College-Woodland Park,750200
Beth Medrash Govoha,794700
Bloomfield College,259700
Brookdale Community College,840400
Rowan College at Burlington County,773000
Caldwell University,259800
Camden County College,686500
Centenary University,259900
Lincoln Technical Institute-Iselin,1246100
County College of Morris,772900
Rowan College South Jersey Cumberland Campus,260100
Drew University,260300
Essex County College,710700
Fairleigh Dickinson University-Metropolitan Campus,260700
Felician University,261000
Georgian Court University,260800
Rowan University,260900
Rowan College of South Jersey Gloucester Campus,690100
Eastwick College-Ramsey,2053700
Hudson County Community College,1295400
New Jersey City University,261300
Kean University,262200
Mercer County Community College,474000
Middlesex College,261500
Monmouth University,261600
Montclair State University,261700
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,642100
New Jersey Institute of Technology,262100
Ocean County College,262400
Passaic County Community College,999400
Pennco Tech-Blackwood,2131600
Princeton University,262700
Ramapo College of New Jersey,934400
Rider University,262800
Rutgers University-New Brunswick,262900
Saint Peter's University,263800
Salem Community College,546100
Seton Hall University,263200
Saint Elizabeth University,260000
Raritan Valley Community College,773100
Stevens Institute of Technology,263900
Stockton University,934500
Thomas Edison State University,2192200
The College of New Jersey,264200
Union County College,264300
William Paterson University of New Jersey,262500
Olympian Academy of Cosmetology,1300500
Central New Mexico Community College,474200
Navajo Technical University,2357600
Clovis Community College,474300
Eastern New Mexico University-Main Campus,265100
New Mexico Highlands University,265300
New Mexico Junior College,265500
New Mexico Institute of Mining and Technology,265400
University of New Mexico-Main Campus,266300
New Mexico State University-Main Campus,265700
Northern New Mexico College,2083900
San Juan College,266000
Santa Fe Community College,2278100
Western New Mexico University,266400
Vaughn College of Aeronautics and Technology,266500
Adelphi University,266600
SUNY Adirondack,286000
Albany College of Pharmacy and Health Sciences,288500
Alfred University,266800
American Musical and Dramatic Academy,757200
Apex Technical School,751800
Bard College,267100
Barnard College,270800
Berkeley College-New York,739400
Boricua College,1302900
SUNY Broome Community College,286200
Bryant & Stratton College-Buffalo,267800
Canisius College,268100
St Paul's School of Nursing-Queens,1236400
Cayuga County Community College,286100
Cazenovia College,268500
Central Yeshiva Tomchei Tmimim Lubavitz,477600
Christine Valmy International School for Esthetics Skin Care & Makeup,4233700
Clarkson University,269900
Clinton Community College,678700
Colgate University,270100
Metropolitan College of New York,976900
Columbia University in the City of New York,270700
Columbia-Greene Community College,678900
Concordia College,270900
Cooper Union for the Advancement of Science and Art,271000
Cornell University,271100
SUNY Corning Community College,286300
Culinary Institute of America,730400
CUNY Bernard M Baruch College,727300
CUNY Borough of Manhattan Community College,269100
CUNY Bronx Community College,269200
CUNY Brooklyn College,268700
College of Staten Island CUNY,269800
CUNY City College,268800
CUNY Graduate School and University Center,476500
CUNY Hostos Community College,861100
CUNY Hunter College,268900
CUNY John Jay College of Criminal Justice,269300
CUNY Kingsborough Community College,269400
CUNY LaGuardia Community College,1005100
CUNY Lehman College,702200
CUNY Medgar Evers College,1009700
CUNY New York City College of Technology,269600
CUNY Queens College,269000
CUNY Queensborough Community College,269700
CUNY York College,475900
D'Youville College,271200
Daemen University,280800
Dominican College of Blauvelt,271300
Dutchess Community College,286400
Elmira College,271800
Erie Community College,1068400
Fashion Institute of Technology,286600
Finger Lakes Community College,753200
Five Towns College,1256100
Fordham University,272200
Fulton-Montgomery Community College,286700
Genesee Community College,678200
Hamilton College,272800
Hartwick College,272900
Helene Fuld College of Nursing,1015300
Herkimer County Community College,478800
Hilbert College,273500
Hobart William Smith Colleges,273100
Hofstra University,273200
Houghton College,273400
Hudson Valley Community College,286800
Hunter Business School,2206000
Iona College,273700
Ithaca College,273900
Jamestown Community College,286900
Jefferson Community College,287000
Keuka College,274400
LIM College,746600
Le Moyne College,274800
Long Island University,275100
Long Island Business Institute,2093700
Manhattan College,275800
Manhattanville College,276000
Maria College of Albany,276300
Marist College,276500
Marymount Manhattan College,276900
Medaille College,277700
Mercy College,277200
Mohawk Valley Community College,287100
Molloy College,277500
Monroe College,479900
Monroe Community College,287200
Mount Saint Mary College,277800
College of Mount Saint Vincent,270300
Nassau Community College,287300
Nazareth College,277900
The New School,2066200
New York University,278500
Niagara County Community College,287400
Niagara University,278800
North Country Community College,711100
New York Institute of Technology,278200
Nyack College,279000
Onondaga Community College,287500
Orange County Community College,287600
Pace University,279100
Paul Smiths College of Arts and Science,279500
Plaza College,1235800
Pratt Institute-Main,279800
Rensselaer Polytechnic Institute,280300
Roberts Wesleyan College,280500
Rochester Institute of Technology,280600
University of Rochester,289400
Rockland Community College,287700
Russell Sage College,281000
St Bonaventure University,281700
St. Francis College,282000
St Lawrence University,282900
The College of Saint Rose,270500
St. Thomas Aquinas College,283200
Sarah Lawrence College,281300
Schenectady County Community College,678500
Siena College,281600
Skidmore College,281400
St. Joseph's University-New York,282500
Saint John Fisher College,282100
St Paul's School of Nursing-Staten Island,947900
St. John's University-New York,282300
Sullivan County Community College,287900
SUNY College of Technology at Alfred,285400
SUNY College of Technology at Canton,285500
SUNY College of Technology at Delhi,285700
SUNY College of Agriculture and Technology at Cobleskill,285600
Farmingdale State College,285800
SUNY Morrisville,285900
SUNY at Albany,283500
Binghamton University,283600
University at Buffalo,283700
Stony Brook University,283800
SUNY College of Environmental Science and Forestry,285100
SUNY Polytechnic Institute,1167800
SUNY Brockport,284100
SUNY Buffalo State,284200
SUNY Cortland,284300
SUNY at Fredonia,284400
SUNY College at Geneseo,284500
State University of New York at New Paltz,284600
SUNY Oneonta,284700
SUNY College at Oswego,284800
SUNY College at Potsdam,285000
SUNY at Purchase College,679100
SUNY College at Old Westbury,710900
SUNY College at Plattsburgh,284900
SUNY Empire State College,1028600
SUNY Maritime College,285300
Swedish Institute a College of Health Sciences,2170000
Syracuse University,288200
Tompkins Cortland Community College,678800
Touro College,1014200
Trocaire College,281200
Excelsior College,283400
Ulster County Community College,288000
Union College,288900
United Talmudical Seminary,1118900
United States Merchant Marine Academy,289200
United States Military Academy,289300
Utica University,288300
Vassar College,289500
Villa Maria College,289600
School of Visual Arts,746800
Wagner College,289900
The College of Westchester,520800
SUNY Westchester Community College,288100
Yeshiva University,290300
Yeshivath Viznitz,1302700
College of the Albemarle,291700
South Piedmont Community College,798500
Appalachian State University,290600
Asheville-Buncombe Technical Community College,403300
Barton College,290800
Beaufort County Community College,855800
Belmont Abbey College,291000
Bladen Community College,798700
Blue Ridge Community College,968400
Brevard College,291200
Brunswick Community College,2170700
Caldwell Community College and Technical Institute,483500
Campbell University,291300
Cape Fear Community College,532000
Carteret Community College,808100
Catawba College,291400
Catawba Valley Community College,531800
Central Carolina Community College,544900
Central Piedmont Community College,291500
Chowan University,291600
Cleveland Community College,808200
Coastal Carolina Community College,531600
Craven Community College,679900
Davidson-Davie Community College,291900
Davidson College,291800
Duke University,292000
Durham Technical Community College,544800
East Carolina University,292300
Edgecombe Community College,885500
Elizabeth City State University,292600
Elon University,292700
Fayetteville Technical Community College,764000
Fayetteville State University,292800
Forsyth Technical Community College,531700
Gardner-Webb University,292900
Gaston College,297300
Greensboro College,293000
Guilford College,293100
Guilford Technical Community College,483800
Haywood Community College,808300
High Point University,293300
Isothermal Community College,293400
James Sprunt Community College,768700
Johnson C Smith University,293600
Johnston Community College,933600
Lees-McRae College,293900
Lenoir Community College,294000
Lenoir-Rhyne University,294100
Livingstone College,294200
Mars Hill University,294400
Meredith College,294500
Methodist University,294600
Mitchell Community College,294700
Montreat College,294800
University of Mount Olive,294900
Nash Community College,855700
North Carolina A & T State University,290500
University of North Carolina at Asheville,290700
University of North Carolina at Chapel Hill,297400
University of North Carolina at Charlotte,297500
University of North Carolina at Greensboro,297600
North Carolina Central University,295000
University of North Carolina School of the Arts,398100
North Carolina State University at Raleigh,297200
North Carolina Wesleyan College,295100
University of North Carolina Wilmington,298400
William Peace University,295300
University of North Carolina at Pembroke,295400
Pfeiffer University,295500
Piedmont Community College,964600
Pitt Community College,406200
Queens University of Charlotte,295700
Randolph Community College,544700
Richmond Community College,546400
Robeson Community College,861200
Rockingham Community College,295800
Rowan-Cabarrus Community College,575400
Saint Augustine's University,296800
Sampson Community College,789200
Sandhills Community College,296100
Shaw University,296200
Southeastern Community College,296400
Southwestern Community College,846600
Stanly Community College,1119400
Southeastern Baptist Theological Seminary,296300
Surry Community College,297000
Alamance Community College,546300
Tri-County Community College,943000
Vance-Granville Community College,990300
Wake Forest University,297800
Wake Technical Community College,484400
Warren Wilson College,297900
Wayne Community College,298000
Western Piedmont Community College,298200
Wilkes Community College,298300
Wilson Community College,484500
Wingate University,298500
Winston-Salem State University,298600
Western Carolina University,298100
Bismarck State College,298800
Dickinson State University,298900
University of Jamestown,299000
Lake Region State College,299100
University of Mary,299200
Mayville State University,299300
Minot State University,299400
University of North Dakota,300500
North Dakota State College of Science,299600
North Dakota State University-Main Campus,299700
Williston State College,300700
Valley City State University,300800
University of Akron Main Campus,312300
Apollo Career Center,2562300
Ashland University,301200
Baldwin Wallace University,301400
Belmont College,994100
Bluffton University,301600
Bowling Green State University-Main Campus,301800
Capital University,302300
Case Western Reserve University,302400
Cedarville University,302500
Central Ohio Technical College,1104600
Central State University,302600
The Christ College of Nursing and Health Sciences,648900
University of Cincinnati-Main Campus,312500
Cincinnati State Technical and Community College,1034500
Ohio Christian University,303000
Clark State College,485200
Cleveland Institute of Art,398200
Cleveland State University,303200
Columbus College of Art and Design,303900
Columbus State Community College,686700
Cuyahoga Community College District,304000
University of Dayton,312700
Defiance College,304100
Denison University,304200
Edison State Community College,1275000
The University of Findlay,304500
Franklin University,304600
Heidelberg University,304800
Hiram College,304900
Hocking College,759800
Eastern Gateway Community College,727500
John Carroll University,305000
Hondros College of Nursing,4074300
Kent State University at Kent,305100
Kenyon College,306500
Kettering College,703500
Lake Erie College,306600
Lakeland Community College,680400
James A. Rhodes State College,1002700
Lorain County Community College,306800
Lourdes University,306900
Malone University,307200
Marietta College,307300
Marion Technical College,1073600
Mercy College of Ohio,3097000
Miami University-Oxford,307700
Mount Carmel College of Nursing,3071900
University of Mount Union,308300
Mount Vernon Nazarene University,708500
Mount Saint Joseph University,303300
Zane State College,813300
Muskingum University,308400
North Central State College,531300
Northwest State Community College,867700
Notre Dame College,308500
University of Northwestern Ohio,486100
Oberlin College,308600
Ohio Dominican University,303500
Ohio Northern University,308900
Ohio State University-Main Campus,309000
Ohio University-Main Campus,310000
Ohio Wesleyan University,310900
Otterbein University,311000
Owens Community College,575300
Fortis College-Centerville,2190700
University of Rio Grande,311600
Shawnee State University,994200
Sinclair Community College,311900
Stark State College,1088100
Stautzenberger College-Maumee,486600
Franciscan University of Steubenville,303600
Southern State Community College,1287000
Terra State Community College,827800
Tiffin University,312100
University of Toledo,313100
Union Institute & University,1092300
Ursuline College,313400
Walsh University,313500
Washington State Community College,1045300
Wilmington College,314200
Wittenberg University,314300
The College of Wooster,303700
Wright State University-Main Campus,307800
Xavier University,314400
Youngstown State University,314500
Oklahoma Wesleyan University,315100
Southern Nazarene University,314900
Cameron University,315000
Carl Albert State College,317600
University of Central Oklahoma,315200
Connors State College,315300
East Central University,315400
Eastern Oklahoma State College,315500
Redlands Community College,315600
Langston University,315700
Murray State College,315800
Spartan College of Aeronautics and Technology,767800
Northeastern State University,316100
Northern Oklahoma College,316200
Northeastern Oklahoma A&M College,316000
Northwestern Oklahoma State University,316300
Oklahoma Christian University,316500
Oklahoma Panhandle State University,317400
Oklahoma State University-Main Campus,317000
Oklahoma State University-Oklahoma City,964700
Oklahoma Baptist University,316400
Oklahoma City Community College,1039100
Oklahoma City University,316600
University of Oklahoma-Norman Campus,318400
Oklahoma State University Institute of Technology,317200
Oral Roberts University,398500
Rogers State University,316800
Rose State College,918500
University of Science and Arts of Oklahoma,316700
Seminole State College,317800
Southeastern Oklahoma State University,317900
Southwestern Oklahoma State University,318100
Tulsa Community College,976300
Tulsa Welding School-Tulsa,961800
University of Tulsa,318500
Western Oklahoma State College,314600
Blue Mountain Community College,318600
Central Oregon Community College,318800
Chemeketa Community College,321800
Clackamas Community College,487800
Clatsop Community College,318900
Eastern Oregon University,319300
George Fox University,319400
Lane Community College,319600
Lewis & Clark College,319700
Linfield University-McMinnville Campus,319800
Linn-Benton Community College,693800
Mt Hood Community College,320400
Bushnell University,320800
Oregon Health & Science University,488200
Oregon Institute of Technology,321100
Oregon State University,321000
University of Oregon,322300
Pacific University,321200
Portland Community College,321300
Portland State University,321600
University of Portland,322400
Reed College,321700
Rogue Community College,1018200
Southern Oregon University,321900
Southwestern Oregon Community College,322000
Treasure Valley Community College,322100
Umpqua Community College,322200
Corban University,133900
Willamette University,322700
Western Oregon University,320900
Albright College,322900
All-State Career School,2495500
Community College of Allegheny County,323100
Allegheny College,323000
DeSales University,398600
Alvernia University,323300
American College of Financial Services,3317300
Community College of Beaver County,680700
Arcadia University,323500
Bloomsburg University of Pennsylvania,331500
Bryn Mawr College,323700
Bucknell University,323800
Bucks County Community College,323900
Butler County Community College,324000
Cabrini University,324100
California University of Pennsylvania,331600
Carlow University,330300
Carnegie Mellon University,324200
Cedar Crest College,324300
Central Penn College,489000
Chatham University,324400
Chestnut Hill College,324500
Cheyney University of Pennsylvania,331700
Clarion University of Pennsylvania,331800
Delaware County Community College,711000
Delaware Valley University,325200
Dickinson College,325300
Drexel University,325600
Duquesne University,325800
East Stroudsburg University of Pennsylvania,332000
Eastern University,325900
Edinboro University of Pennsylvania,332100
Elizabethtown College,326200
Franklin and Marshall College,326500
Gannon University,326600
Geneva College,326700
Gettysburg College,326800
Grove City College,326900
Gwynedd Mercy University,327000
Harcum College,327200
Harrisburg Area Community College,327300
Haverford College,327400
Holy Family University,327500
Immaculata University,327600
Indiana University of Pennsylvania-Main Campus,327700
Juniata College,327900
Keystone College,328000
King's College,328200
Kutztown University of Pennsylvania,332200
La Roche University,398700
La Salle University,328700
Lackawanna College,328300
Lafayette College,328400
Lancaster Bible College,328500
Lebanon Valley College,328800
Lehigh Carbon Community College,681000
Lehigh University,328900
Lincoln University,329000
Lock Haven University,332300
Luzerne County Community College,681100
Lycoming College,329300
Manor College,329400
Mansfield University of Pennsylvania,332400
Marywood University,329600
Mercyhurst University,329700
Messiah University,329800
Millersville University of Pennsylvania,332500
Misericordia University,324700
Montgomery County Community College,445200
Moravian University,330100
Mount Aloysius College,330200
Muhlenberg College,330400
Neumann University,398800
New Castle School of Trades,778000
Northampton County Area Community College,719100
Peirce College,330900
Pennco Tech-Bristol,944900
University of Pennsylvania,337800
The University of the Arts,335000
Cairn University-Langhorne,335100
University of the Sciences,335300
Community College of Philadelphia,324900
University of Pittsburgh-Pittsburgh Campus,337900
Pittsburgh Institute of Aeronautics,531000
Pittsburgh Technical College,743700
Point Park University,335700
Reading Area Community College,1038800
Robert Morris University,335900
Saint Francis University,336600
Saint Joseph's University,336700
Saint Vincent College,336800
University of Scranton,338400
Seton Hill University,336200
Shippensburg University of Pennsylvania,332600
Slippery Rock University of Pennsylvania,332700
Susquehanna University,336900
Swarthmore College,337000
Thaddeus Stevens College of Technology,791200
Temple University,337100
Thiel College,337600
Thomas Jefferson University,1239300
Ursinus College,338500
Villanova University,338800
Washington & Jefferson College,338900
Waynesburg University,339100
West Chester University of Pennsylvania,332800
Westminster College,339200
Westmoreland County Community College,1017600
Widener University,331300
Wilkes University,339400
Wilson College,339600
York College of Pennsylvania,339900
YTI Career Institute-York,2127400
Brown University,340100
Bryant University,340200
Johnson & Wales University-Providence,340400
New England Institute of Technology,784500
Providence College,340600
Rhode Island College,340700
Community College of Rhode Island,340800
University of Rhode Island,341400
Rhode Island School of Design,340900
Roger Williams University,341000
Salve Regina University,341100
Aiken Technical College,1005600
Allen University,341700
Anderson University,341800
Charleston Southern University,341900
Technical College of the Lowcountry,991000
Benedict College,342000
Bob Jones University,342100
Southern Wesleyan University,342200
College of Charleston,342800
Northeastern Technical College,760200
Citadel Military College of South Carolina,342300
Claflin University,342400
Clemson University,342500
Coker University,342700
Columbia International University,342900
Columbia College,343000
Converse University,343100
Erskine College,343200
Florence-Darlington Technical College,399000
Francis Marion University,922600
Furman University,343400
Greenville Technical College,399100
Horry-Georgetown Technical College,492500
Lander University,343500
Limestone University,343600
Midlands Technical College,399300
Newberry College,344000
North Greenville University,344100
Orangeburg Calhoun Technical College,681500
Piedmont Technical College,399200
Presbyterian College,344500
University of South Carolina Aiken,344900
University of South Carolina Beaufort,345000
University of South Carolina-Columbia,344800
University of South Carolina-Lancaster,345300
University of South Carolina-Sumter,342600
Coastal Carolina University,345100
South Carolina State University,344600
University of South Carolina-Upstate,695100
Spartanburg Methodist College,344700
Spartanburg Community College,399400
Central Carolina Technical College,399500
Tri-County Technical College,492600
Trident Technical College,492000
Winthrop University,345600
Wofford College,345700
York Technical College,399600
Augustana University,345800
Black Hills State University,345900
Dakota State University,346300
Dakota Wesleyan University,346100
Lake Area Technical College,530900
Mitchell Technical College,828400
Mount Marty University,346500
National American University-Rapid City,405700
Northern State University,346600
Oglala Lakota College,1465900
Presentation College,346700
South Dakota School of Mines and Technology,347000
South Dakota State University,347100
University of Sioux Falls,346900
Southeast Technical College,776400
University of South Dakota,347400
Western Dakota Technical College,1017000
Austin Peay State University,347800
Baptist Health Sciences University,3440300
Belmont University,347900
Bethel University,348000
Bryan College-Dayton,353600
Carson-Newman University,348100
Chattanooga State Community College,399800
Christian Brothers University,348200
Cleveland State Community College,399900
Columbia State Community College,348300
Concorde Career College-Memphis,2157100
Cumberland University,348500
Lipscomb University,348600
Tennessee College of Applied Technology-Dickson,778200
Dyersburg State Community College,683500
East Tennessee State University,348700
Fisk University,349000
Freed-Hardeman University,349200
Jackson State Community College,493700
Johnson University,349500
King University,349600
South College,493800
Lane College,349900
Le Moyne-Owen College,350100
Lee University,350000
Lincoln Memorial University,350200
The University of Tennessee Southern,350400
Maryville College,350500
Tennessee College of Applied Technology-Memphis,536000
University of Memphis,350900
Middle Tennessee State University,351000
Tennessee College of Applied Technology-Morristown,535100
Motlow State Community College,683600
Tennessee College of Applied Technology-Murfreesboro,2103500
Nashville State Community College,814500
Rhodes College,351900
Roane State Community College,991400
Southwest Tennessee Community College,1043900
The University of the South,353400
Tennessee College of Applied Technology-Knoxville,402500
Pellissippi State Community College,1269300
Southern Adventist University,351800
Tennessee Wesleyan University,352500
The University of Tennessee-Chattanooga,352900
The University of Tennessee-Knoxville,353000
The University of Tennessee-Martin,353100
Tennessee State University,352200
Tennessee Technological University,352300
Trevecca Nazarene University,352600
Northeast State Community College,537800
Tusculum University,352700
Union University,352800
Vanderbilt University,353500
Volunteer State Community College,991200
Walters State Community College,886300
Abilene Christian University,353700
Alvin Community College,353900
Amarillo College,354000
Angelina College,666100
Angelo State University,354100
Austin College,354300
Austin Community College District,1201500
Baptist Health System School of Health Professions,660600
Baylor University,354500
Coastal Bend College,354600
Blinn College,354900
Remington College-Dallas Campus,3026500
Brazosport College,728700
Central Texas College,400300
Cisco College,355300
Clarendon College,355400
Concordia University Texas,355700
North Central Texas College,355800
Texas A & M University-Corpus Christi,1116100
Dallas Baptist University,356000
University of Dallas,365100
Del Mar College,356300
East Texas Baptist University,356400
Texas A&M University-Texarkana,3170300
Texas A & M University-Commerce,356500
Dallas College,445300
El Paso Community College,1038700
Western Technical College,2098300
Frank Phillips College,356800
Galveston College,497200
Grayson College,357000
Hallmark University,1050900
Hardin-Simmons University,357100
Trinity Valley Community College,357200
Hill College,357300
Houston Baptist University,357600
University of Houston-Clear Lake,1171100
Houston Community College,1063300
University of Houston-Downtown,361200
University of Houston-Victoria,1323100
University of Houston,365200
Howard College,357400
Howard Payne University,357500
Huston-Tillotson University,357700
University of the Incarnate Word,357800
Jarvis Christian University,363700
Kilgore College,358000
Lamar University,358100
Lamar State College-Orange,2358200
Lamar State College-Port Arthur,2348500
Laredo College,358200
Texas A & M International University,965100
Lee College,358300
LeTourneau University,358400
Lubbock Christian University,358600
College of the Mainland,709600
University of Mary Hardin-Baylor,358800
McLennan Community College,359000
McMurry University,359100
Midland College,979700
Midwestern State University,359200
Southern Careers Institute-Austin,3035300
Navarro College,359300
Lone Star College System,1114500
University of North Texas,359400
Northeast Texas Community College,2315400
Odessa College,359600
Our Lady of the Lake University,359800
The University of Texas Rio Grande Valley,359900
Texas Southmost College,3064600
Panola College,360000
Paris Junior College,360100
Prairie View A & M University,363000
Ranger College,360300
Rice University,360400
Saint Edward's University,362100
St Philip's College,360800
University of St Thomas,365400
Sam Houston State University,360600
San Antonio College,916300
San Jacinto Community College,360900
Schreiner University,361000
St. Mary's University,362300
South Plains College,361100
Southern Methodist University,361300
Southwest Texas Junior College,361400
Southwestern Assemblies of God University,361600
Southwestern University,362000
Stephen F Austin State University,362400
Texas State University,361500
Southwestern Adventist University,361900
Sul Ross State University,362500
Tarleton State University,363100
Tarrant County College District,362600
Temple College,362700
The University of Texas Health Science Center at San Antonio,365900
The University of Texas Medical Branch at Galveston,495200
Texarkana College,362800
Texas A & M University-Kingsville,363900
Texas A & M University-College Station,363200
The University of Texas at Arlington,365600
The University of Texas at Austin,365800
The University of Texas at Dallas,974100
The University of Texas at El Paso,366100
The University of Texas at Tyler,1116300
Texas Christian University,363600
Texas College,363800
Texas Lutheran University,364100
The University of Texas Permian Basin,993000
The University of Texas at San Antonio,1011500
Texas Southern University,364200
Texas Tech University,364400
Texas Wesleyan University,364500
Texas Woman's University,364600
Trinity University,364700
The University of Texas Health Science Center at Houston,495100
Texas Tech University Health Sciences Center,1067400
Tyler Junior College,364800
Universal Technical Institute of Texas Inc.,2362000
Vernon College,1006000
Victoria College,366200
Wayland Baptist University,366300
Weatherford College,366400
West Texas A & M University,366500
Western Texas College,954900
Wharton County Junior College,366800
Wiley College,366900
Bridgerland Technical College,2115400
Brigham Young University,367000
Brigham Young University-Hawaii,160600
Davis Technical College,2156600
Dixie State University,367100
Ensign College,367200
Ogden-Weber Technical College,2346500
Snow College,367900
Southern Utah University,367800
Utah State University,367700
Utah Valley University,402700
Salt Lake Community College,522000
University of Utah,367500
Weber State University,368000
Westminster College,368100
Bennington College,368200
Castleton University,368300
Champlain College,368400
Community College of Vermont,1116700
Northern Vermont University,368800
Middlebury College,369100
Norwich University,369200
Saint Michael's College,369400
Vermont Technical College,369800
University of Vermont,369600
Averett University,370200
Blue Ridge Community College,681900
Bluefield University,370300
Bridgewater College,370400
William & Mary,370500
Regent University,3091300
Central Virginia Community College,498800
Christopher Newport University,370600
Dabney S Lancaster Community College,499600
Danville Community College,375800
Emory & Henry College,370900
Eastern Mennonite University,370800
Ferrum College,371100
George Mason University,374900
Germanna Community College,866000
Hampden-Sydney College,371300
Hampton University,371400
Hollins University,371500
J Sargeant Reynolds Community College,375900
James Madison University,372100
Brightpoint Community College,400400
Liberty University,2053000
Longwood University,371900
Laurel Ridge Community College,865900
University of Lynchburg,372000
Mary Baldwin University,372300
University of Mary Washington,374600
Marymount University,372400
Mountain Empire Community College,962900
American National University,372600
New River Community College,522300
Norfolk State University,376500
Northern Virginia Community College,372700
Old Dominion University,372800
Patrick Henry Community College,375100
Paul D Camp Community College,915900
Piedmont Virginia Community College,992800
Radford University,373200
Randolph-Macon College,373300
Rappahannock Community College,916000
Richard Bland College,370700
University of Richmond,374400
Roanoke College,373600
Shenandoah University,373700
Southern Virginia University,373800
Southside Virginia Community College,866100
Southwest Virginia Community College,726000
