College,Code
Otis College of Art and Design,125100
Oxnard College,1284200
Hope International University,125200
Concorde Career College-San Diego,793000
Pacific Union College,125800
University of the Pacific,132900
Palo Verde College,125900
Palomar College,126000
Pasadena City College,126100
Pepperdine University,1014900
Pitzer College,117200
Point Loma Nazarene University,126200
Pomona College,117300
Porterville College,126800
Santa Ana College,128400
University of Redlands,132200
College of the Redwoods,118500
Rio Hondo College,126900
Riverside City College,127000
Sacramento City College,123300
Saddleback College,891800
Samuel Merritt University,701200
San Diego City College,127300
San Diego Mesa College,127500
San Diego Miramar College,1182000
San Diego State University,115100
University of San Diego,1039500
San Francisco State University,115400
University of San Francisco,132500
San Joaquin Delta College,128000
San Joaquin Valley College-Visalia,2120700
William Jessup University,128100
San Jose City College,128200
San Jose State University,115500
College of San Mateo,118100
Santa Barbara City College,128500
Santa Clara University,132600
Santa Monica College,128600
Santa Rosa Junior College,128700
Scripps College,117400
College of the Sequoias,118600
Shasta College,128900
Sierra College,129000
Simpson University,129100
College of the Siskiyous,118700
Skyline College,771300
San Bernardino Valley College,127200
Saint Mary's College of California,130200
Solano Community College,129200
Sonoma State University,115600
Vanguard University of Southern California,129300
Concorde Career College-Garden Grove,807100
Southwestern College,129400
University of Southern California,132800
Taft College,130900
United Education Institute-Huntington Park Campus,2559300
Concorde Career College-San Bernardino,853700
Concorde Career College-North Hollywood,760700
Ventura College,133400
Victor Valley College,133500
Berkeley City College,2242700
Walden University,2504200
West Hills College-Coalinga,117600
West Los Angeles College,859600
West Valley College,133800
Carrington College-Sacramento,974800
Westmont College,134100
Whittier College,134200
Woodbury University,134300
Yuba College,134400
Adams State University,134500
Aims Community College,758200
Arapahoe Community College,134600
University of Colorado Denver/Anschutz Medical Campus,450800
University of Colorado Colorado Springs,450900
University of Colorado Boulder,137000
Colorado Christian University,940100
Colorado College,134700
Colorado Mountain College,450600
Colorado Northwestern Community College,135900
Colorado School of Mines,134800
Colorado State University-Fort Collins,135000
Colorado Technical University-Colorado Springs,1014800
Community College of Aurora,2276900
Community College of Denver,954200
University of Denver,137100
Emily Griffith Technical College,559600
Fort Lewis College,135300
Front Range Community College,793300
Colorado Mesa University,135800
Metropolitan State University of Denver,136000
Morgan Community College,998100
Northeastern Junior College,136100
University of Northern Colorado,134900
Otero Junior College,136200
Pikes Peak Community College,889600
Pueblo Community College,2116300
Red Rocks Community College,954300
Regis University,136300
Rocky Mountain College of Art and Design,764900
Colorado State University Pueblo,136500
Pickens Technical College,1287500
Intellitec College-Colorado Springs,2253700
Intellitec College-Grand Junction,3066900
Trinidad State College,136800
United States Air Force Academy,136900
Western Colorado University,137200
Albertus Magnus College,137400
Asnuntuck Community College,1115000
University of Bridgeport,141600
Central Connecticut State University,137800
Charter Oak State College,3234300
Connecticut College,137900
University of Connecticut,141700
Goodwin University,2244900
Eastern Connecticut State University,142500
Fairfield University,138500
Capital Community College,763500
University of Hartford,142200
Housatonic Community College,451300
Manchester Community College,139200
Naugatuck Valley Community College,698200
Middlesex Community College,803800
Mitchell College,139300
Three Rivers Community College,976500
Lincoln Technical Institute-New Britain,730300
University of New Haven,139700
Norwalk Community College,139900
Northwestern Connecticut Community College,139800
Porter and Chester Institute,1077900
Post University,140100
Quinebaug Valley Community College,1053000
Quinnipiac University,140200
Sacred Heart University,140300
University of Saint Joseph,140900
Gateway Community College,803700
Southern Connecticut State University,140600
Stone Academy-West Haven,1242500
Trinity College,141400
Tunxis Community College,976400
United States Coast Guard Academy,141500
Wesleyan University,142400
Western Connecticut State University,138000
Yale University,142600
Delaware Technical Community College-Terry,1172700
Delaware State University,142800
University of Delaware,143100
Goldey-Beacom College,142900
Wesley College,143300
Wilmington University,794800
American University,143400
The Catholic University of America,143700
University of the District of Columbia,144100
Gallaudet University,144300
George Washington University,144400
Georgetown University,144500
Howard University,144800
Strayer University-District of Columbia,145900
Trinity Washington University,146000
Atlantic Technical College,1226300
Barry University,146600
Bethune-Cookman University,146700
Lynn University,150500
Eastern Florida State College,147000
Broward College,150000
College of Central Florida,147100
University of Central Florida,395400
Chipola College,147200
Lorenzo Walker Technical College,1323400
Daytona State College,147500
Eckerd College,148700
Florida SouthWestern State College,147700
Edward Waters University,147800
Embry-Riddle Aeronautical University-Daytona Beach,147900
Florida Agricultural and Mechanical University,148000
Florida Atlantic University,148100
Florida State College at Jacksonville,148400
Flagler College,789300
Concorde Career Institute-Jacksonville,2089600
AdventHealth University,3115500
Florida Institute of Technology,146900
Florida International University,963500
The College of the Florida Keys,148500
Florida Memorial University,148600
Florida Career College-Miami,2305800
Florida Southern College,148800
Florida State University,148900
University of Florida,153500
Full Sail University,2362100
George Stone Technical College,2307400
George T Baker Aviation Technical College,3079800
Gulf Coast State College,149000
Hillsborough Community College,787000
Indian River State College,149300
AI Miami International University of Art and Design,887800
Jacksonville University,149500
Keiser University-Ft Lauderdale,2151900
Florida Gateway College,150100
Lake Technical College,2228300
Lake-Sumter State College,150200
Fort Myers Technical College,755800
Lively Technical College,558500
State College of Florida-Manatee-Sarasota,150400
Manatee Technical College,561200
Miami Lakes Educational Center and Technical College,2316200
Miami Dade College,150600
University of Miami,153600
Orange Technical College-Mid Florida Campus,2501500
North Florida College,150800
University of North Florida,984100
Nova Southeastern University,150900
Northwest Florida State College,151000
Palm Beach Atlantic University,884900
Palm Beach State College,151200
Pasco-Hernando State College,1065200
Pensacola State College,151300
Pinellas Technical College-Clearwater,560500
Polk State College,151400
Ringling College of Art and Design,1257400
Rollins College,151500
Saint Leo University,152600
St Petersburg College,152800
Pinellas Technical College-St. Petersburg,2115300
Santa Fe College,151900
Suncoast Technical College,560700
Seminole State College of Florida,152000
Sheridan Technical College,990200
Saint Johns River State College,152300
South Florida State College,152200
University of South Florida,153700
St. Thomas University,146800
Stetson University,153100
Southeastern University,152100
Tallahassee Community College,153300
The University of Tampa,153800
Valencia College,675000
Warner University,884800
Webber International University,154000
The University of West Florida,395500
Orange Technical College-Westside Campus,2321200
William T McFatter Technical College,3003600
Abraham Baldwin Agricultural College,154100
Agnes Scott College,154200
Interactive College of Technology-Chamblee,2284300
Albany Technical College,560100
Albany State University,154400
The Art Institute of Atlanta,927000
Georgia Career Institute,3005400
Atlanta Technical College,854300
Point University,154700
Atlanta Metropolitan State College,1216500
Clark Atlanta University,155900
Augusta Technical College,559900
Berry College,155400
Brenau University,155600
Brewton-Parker College,155700
College of Coastal Georgia,155800
West Georgia Technical College,1048700
Clayton  State University,897600
Columbus Technical College,562400
Columbus State University,156100
Georgia Northwestern Technical College,402400
Covenant College,348400
Dalton State College,395600
East Georgia State College,1099700
Emmanuel College,156300
Emory University,156400
Georgia Highlands College,950700
Fort Valley State University,156600
Georgia Institute of Technology-Main Campus,156900
Georgia Southwestern State University,157300
Georgia College & State University,160200
Georgia Southern University,157200
Georgia State University,157400
University of Georgia,159800
Gordon State College,157500
Southern Crescent Technical College,562100
Gwinnett Technical College,2288400
LaGrange College,157800
Lanier Technical College,525400
Life University,2074800
Chattahoochee Technical College,562000
Mercer University,158000
Morehouse College,158200
North Georgia Technical College,561900
Oglethorpe University,158600
Piedmont University,158800
Reinhardt University,158900
Savannah Technical College,561800
Savannah College of Art and Design,2141500
Savannah State University,159000
Shorter University,159100
South Georgia Technical College,561700
Spelman College,159400
Thomas University,155500
Toccoa Falls College,159600
Truett McConnell University,159700
Wiregrass Georgia Technical College,525600
Valdosta State University,159900
Wesleyan College,160000
University of West Georgia,160100
Young Harris College,160400
Chaminade University of Honolulu,160500
University of Hawaii at Hilo,161100
University of Hawaii at Manoa,161000
Hawaii Pacific University,727900
Honolulu Community College,161200
Kapiolani Community College,161300
Kauai Community College,161400
Leeward Community College,454900
University of Hawaii Maui College,161500
University of Hawaii-West Oahu,2107800
Windward Community College,1122000
Carrington College-Boise,2218000
Boise State University,161600
College of Eastern Idaho,1113300
Idaho State University,162000
University of Idaho,162600
The College of Idaho,161700
Lewis-Clark State College,162100
North Idaho College,162300
Northwest Nazarene University,162400
Brigham Young University-Idaho,162500
College of Southern Idaho,161900
School of the Art Institute of Chicago,175300
Augustana College,163300
Aurora University,163400
Southwestern Illinois College,163600
Black Hawk College,163800
Bradley University,164100
Carl Sandburg College,726500
Chicago State University,169400
University of Chicago,177400
City Colleges of Chicago-Kennedy-King College,165400
City Colleges of Chicago-Malcolm X College,165000
City Colleges of Chicago-Olive-Harvey College,976700
City Colleges of Chicago-Harry S Truman College,164800
City Colleges of Chicago-Richard J Daley College,164900
City Colleges of Chicago-Harold Washington College,165200
City Colleges of Chicago-Wilbur Wright College,165500
Columbia College Chicago,166500
Concordia University-Chicago,166600
Coyne College,754900
Danville Area Community College,166900
DePaul University,167100
College of DuPage,665600
Eastern Illinois University,167400
Elgin Community College,167500
Elmhurst University,167600
Eureka College,167800
Governors State University,914500
Greenville University,168400
Highland Community College,168100
University of Illinois Chicago,177600
Benedictine University,176700
University of Illinois Urbana-Champaign,177500
Illinois Wesleyan University,169600
Illinois Central College,675300
Illinois College,168800
Olney Central College,174200
Illinois Institute of Technology,169100
Illinois State University,169200
Illinois Valley Community College,170500
John A Logan College,807600
John Wood Community College,1281300
Joliet Junior College,169900
Judson University,170000
Kankakee Community College,769000
Kaskaskia College,170100
Kishwaukee College,768400
Knox College,170400
College of Lake County,769400
Lake Forest College,170600
Lake Land College,764400
Lewis and Clark Community College,1002000
Lewis University,170700
Lincoln College,170900
Lincoln Land Community College,717000
Loyola University Chicago,171000
McHenry County College,769100
McKendree University,172200
Methodist College,622800
Millikin University,172400
Monmouth College,172500
Moody Bible Institute,172700
Moraine Valley Community College,769200
Morton College,172800
National Louis University,173300
North Central College,173400
North Park University,173500
Northern Illinois University,173700
Northwestern University,173900
Northeastern Illinois University,169300
Oakton Community College,989600
Olivet Nazarene University,174100
Parkland College,711800
Prairie State College,164000
Quincy University,174500
Rend Lake College,711900
Richland Community College,1087900
Rock Valley College,174700
Rockford University,174800
Roosevelt University,174900
Dominican University,175000
University of St Francis,166400
Saint Xavier University,176800
University of Illinois Springfield,933300
Sauk Valley Community College,175200
Shawnee Community College,769300
St. Augustine College,2185400
Southeastern Illinois College,175700
Spoon River College,164300
Southern Illinois University-Carbondale,175800
Southern Illinois University-Edwardsville,175900
South Suburban College,176900
Trinity Christian College,177100
Trinity International University-Illinois,177200
Triton College,177300
Waubonsee Community College,693100
Oak Point University,2214100
Western Illinois University,178000
Wheaton College,178100
William Rainey Harper College,396100
Anderson University,178500
Ball State University,178600
Bethel University,178700
Butler University,178800
Calumet College of Saint Joseph,183400
DePauw University,179200
Earlham College,179300
University of Evansville,179500
Franklin College,179800
Goshen College,179900
Grace College and Theological Seminary,180000
Hanover College,180100
Huntington University,180300
Ivy Tech Community College,991700
Purdue University Fort Wayne,182800
Indiana University-Purdue University-Indianapolis,181300
University of Indianapolis,180400
Indiana Institute of Technology,180500
University of Southern Indiana,180800
Indiana State University,180700
Indiana University-Kokomo,181400
Indiana University-South Bend,181600
Indiana University-Bloomington,180900
Indiana University-Northwest,181500
Indiana University-Southeast,181700
Indiana University-East,181100
Lincoln College of Technology-Indianapolis,793800
Manchester University,182000
Marian University,182100
Indiana Wesleyan University-Marion,182200
University of Notre Dame,184000
Oakland City University,182400
Rose-Hulman Institute of Technology,183000
University of Saint Francis-Fort Wayne,183200
Saint Mary-of-the-Woods College,183500
Saint Mary's College,183600
Taylor University,183800
Trine University,183900
Valparaiso University,184200
Vincennes University,184300
Wabash College,184400
Briar Cliff University,184600
Buena Vista University,184700
Central College,185000
Clarke University,185200
Coe College,185400
Cornell College,185600
Des Moines Area Community College,712000
Dordt University,185900
Drake University,186000
University of Dubuque,189100
Ellsworth Community College,186200
Eastern Iowa Community College District,407500
Graceland University-Lamoni,186600
Grand View University,186700
Grinnell College,186800
Hawkeye Community College,459500
Indian Hills Community College,840300
Iowa Central Community College,186500
Iowa Lakes Community College,186400
Iowa State University,186900
Iowa Wesleyan University,187100
Iowa Western Community College,459800
University of Iowa,189200
Kirkwood Community College,407600
Loras College,187300
Luther College,187400
Maharishi International University,1111300
Marshalltown Community College,187500
Mercy College of Health Sciences,627300
Morningside University,187900
Mount Mercy University,188000
Ashford University,188100
North Iowa Area Community College,187700
University of Northern Iowa,189000
Northwestern College,188300
Northeast Iowa Community College,458700
Northwest Iowa Community College,460000
Saint Ambrose University,188900
Simpson College,188700
Southeastern Community College,184800
Southwestern Community College,185700
Upper Iowa University,189300
Waldorf University,189500
Wartburg College,189600
Western Iowa Tech Community College,731600
William Penn University,190000
Allen County Community College,190100
Baker University,190300
Barton County Community College,460800
Benedictine College,1025600
Bethany College,190400
Butler Community College,190600
